question_id,label,question_ko,question_en,answer_type,answer_options
overall_satisfaction,전반적 만족도,오늘 공연에 전반적으로 만족했다.,"Overall, I was satisfied with today’s performance.",5점 리커트 척도 단일 선택,"1=전혀 그렇지 않다(Strongly disagree), 2=그렇지 않다(Disagree), 3=보통이다(Neutral), 4=그렇다(Agree), 5=매우 그렇다(Strongly agree)"
flow_immersion,흐름/몰입도,공연의 흐름이 자연스럽고 몰입하기 좋았다.,The flow of the performance felt natural and immersive.,5점 리커트 척도 단일 선택,"1=전혀 그렇지 않다(Strongly disagree), 2=그렇지 않다(Disagree), 3=보통이다(Neutral), 4=그렇다(Agree), 5=매우 그렇다(Strongly agree)"
space_fit,공간 적합도,공연 공간의 분위기가 곡과 잘 어울렸다.,The atmosphere of the venue matched the songs well.,5점 리커트 척도 단일 선택,"1=전혀 그렇지 않다(Strongly disagree), 2=그렇지 않다(Disagree), 3=보통이다(Neutral), 4=그렇다(Agree), 5=매우 그렇다(Strongly agree)"
floor_seating_comfort,바닥 착석 편안함,돗자리에 앉아 인터렉션에 참여하는 공연장의 공간 구도가 편안했다.,The floor-seating layout for participating in the interactions felt comfortable.,5점 리커트 척도 단일 선택,"1=전혀 그렇지 않다(Strongly disagree), 2=그렇지 않다(Disagree), 3=보통이다(Neutral), 4=그렇다(Agree), 5=매우 그렇다(Strongly agree)"
active_participation,능동적 참여도,기존의 일반적인 공연보다 더 능동적으로 참여한다고 느꼈다.,"Compared with a typical concert, I felt more actively involved.",5점 리커트 척도 단일 선택,"1=전혀 그렇지 않다(Strongly disagree), 2=그렇지 않다(Disagree), 3=보통이다(Neutral), 4=그렇다(Agree), 5=매우 그렇다(Strongly agree)"
artistic_fit,예술적 적합도,인터렉션 요소가 공연의 예술적 완성도를 해치지 않고 자연스럽게 어울렸다.,The interactive elements felt natural and did not weaken the artistic quality.,5점 리커트 척도 단일 선택,"1=전혀 그렇지 않다(Strongly disagree), 2=그렇지 않다(Disagree), 3=보통이다(Neutral), 4=그렇다(Agree), 5=매우 그렇다(Strongly agree)"
revisit_intent,재관람 의향,다시 비슷한 형식의 공연을 관람하고 싶다.,I would like to attend a similar performance again.,5점 리커트 척도 단일 선택,"1=전혀 그렇지 않다(Strongly disagree), 2=그렇지 않다(Disagree), 3=보통이다(Neutral), 4=그렇다(Agree), 5=매우 그렇다(Strongly agree)"
mood_understanding.projection,분위기 이해 - 빔프로젝터,곡의 감정이나 분위기를 이해하는 데 도움이 되었다. - 빔프로젝터,It helped me understand the emotion or mood of the songs. - Projection,영역별 5점 리커트 척도 단일 선택,"1=전혀 그렇지 않다(Strongly disagree), 2=그렇지 않다(Disagree), 3=보통이다(Neutral), 4=그렇다(Agree), 5=매우 그렇다(Strongly agree)"
mood_understanding.web_page,분위기 이해 - 웹 페이지,곡의 감정이나 분위기를 이해하는 데 도움이 되었다. - 웹 페이지,It helped me understand the emotion or mood of the songs. - Web page,영역별 5점 리커트 척도 단일 선택,"1=전혀 그렇지 않다(Strongly disagree), 2=그렇지 않다(Disagree), 3=보통이다(Neutral), 4=그렇다(Agree), 5=매우 그렇다(Strongly agree)"
mood_understanding.physical_touch,분위기 이해 - 실물 터치,곡의 감정이나 분위기를 이해하는 데 도움이 되었다. - 실물 터치,It helped me understand the emotion or mood of the songs. - Physical touch,영역별 5점 리커트 척도 단일 선택,"1=전혀 그렇지 않다(Strongly disagree), 2=그렇지 않다(Disagree), 3=보통이다(Neutral), 4=그렇다(Agree), 5=매우 그렇다(Strongly agree)"
